SampleType   N2OgasAge  N2O(ppb)  PublicationStatus
DE08-2         1976.0    300.0    MacFM2004/2006
DE08-2         1979.0    300.3    MacFM2004/2006
DE08-2         1979.0    304.5    MacFM2004/2006
DE08           1841.0    270.4    MacFM2004/2006
DE08             1846    270.5    MacFM2004/2006
DE08           1855.0    270.5    MacFM2004/2006
DE08           1862.0    272.3    MacFM2004/2006
DE08           1864.0    272.1    MacFM2004/2006
DE08           1870.0    272.9    MacFM2004/2006
DE08             1873    272.6    MacFM2004/2006
DE08           1878.0    275.8    MacFM2004/2006
DE08           1883.0    275.9    MacFM2004/2006
DE08           1887.0    278.3    MacFM2004/2006
DE08           1893.0    277.5    MacFM2004/2006
DE08           1894.0    278.8    MacFM2004/2006
DE08           1899.0    276.7    MacFM2004/2006
DE08             1902    276.4    MacFM2004/2006
DE08           1911.5    280.8    MacFM2004/2006
DE08           1913.0    282.4    MacFM2004/2006
DE08           1916.0    282.2    MacFM2004/2006
DE08           1918.6    285.5    MacFM2004/2006
DE08           1923.6    286.5    MacFM2004/2006
DE08           1925.0    283.0    MacFM2004/2006
DE08           1925.0    283.5    MacFM2004/2006
DE08           1929.0    285.5    MacFM2004/2006
DE08           1933.0    285.3    MacFM2004/2006
DE08           1938.0    285.1    MacFM2004/2006
DE08           1939.0    286.5    MacFM2004/2006
DE08           1940.0    287.9    MacFM2004/2006
DE08           1945.0    286.8    MacFM2004/2006
DE08           1945.0    287.6    MacFM2004/2006
DE08           1949.0    286.9    MacFM2004/2006
DE08           1950.0    287.3    MacFM2004/2006
DE08           1953.0    286.3    MacFM2004/2006
DE08           1954.0    288.3    MacFM2004/2006
DE08           1955.0    290.3    MacFM2004/2006
DE08           1957.0    292.2    MacFM2004/2006
DE08           1958.0    292.2    MacFM2004/2006
DE08           1959.0    292.8    MacFM2004/2006
DE08           1963.0    294.4    MacFM2004/2006
DE08           1964.0    293.4    MacFM2004/2006
DE08           1966.0    292.5    MacFM2004/2006
DE08           1966.0    292.5    MacFM2004/2006
DE08           1969.0    292.9    MacFM2004/2006
DSSW20Kfirn    1942.1    288.7    FirnSrc
DSSW20Kfirn    1962.9    291.2    FirnSrc
DSSW20Kfirn      1970    295.3    FirnSrc
DSSW20Kfirn    1983.7    303.6    FirnSrc
DSSW20Kfirn    1989.8    307.5    FirnSrc
DSSW20Kfirn    1992.4    309.6    FirnSrc
DSSW20Kfirn    1994.5    310.9    FirnSrc
DSSW20Kfirn    1996.5    312.3    FirnSrc
CAPEGRIM         1993    310.0    CGSrc
CAPEGRIM         1994    310.5    CGSrc    
CAPEGRIM         1995    311.1    CGSrc
CAPEGRIM         1996    311.8    CGSrc
CAPEGRIM         1997    312.9    CGSrc
CAPEGRIM         1998    313.7    CGSrc
CAPEGRIM         1999    314.7    CGSrc
CAPEGRIM         2000    315.6    CGSrc
CAPEGRIM         2001    316.2    CGSrc
CAPEGRIM         2002    317.0    CGSrc
CAPEGRIM         2003    317.5    CGSrc
CAPEGRIM         2004    318.7    CGSrc
